"feature_id","name","type"
"9819","TILZ4c","alias"
"9818","NUP45","alias"
"9818","PRO2463","alias"
"9818","NUP58","alias"
"9817","INrf2","alias"
"9817","KLHL19","alias"
"9816","KIAA0133","alias"
"9816","NET10","alias"
"9816","NPA2","alias"
"9815","CAT-2","alias"
"9815","CAT2","alias"
"9815","PKL","alias"
"9814","PISD","alias"
"9814","PPP1R139","alias"
"9814","hSfi1p","alias"
"9813","KIAA0494","alias"
"9812","DELE","alias"
"9811","Gm672","alias"
"9811","KIAA0427","alias"
"9810","BRE1B","alias"
"9810","RBP95","alias"
"9810","STARING","alias"
"9807","IHPK1","alias"
"9807","PiUS","alias"
"9806","testican-2","alias"
"9805","SES1","alias"
"9804","MAS20","alias"
"9804","MOM19","alias"
"9804","TOM20","alias"
"9802","PRTB","alias"
"9801","L19mt","alias"
"9801","MRP-L15","alias"
"9801","MRP-L19","alias"
"9801","MRPL15","alias"
"9801","RLX1","alias"
"9801","RPML15","alias"
"98","ACYM","alias"
"98","ACYP","alias"
"9798","OLC1","alias"
"9796","DYRK1AP3","alias"
"9796","PAHX-AP","alias"
"9796","PAHXAP1","alias"
"9794","Mam-1","alias"
"9794","Mam1","alias"
"9793","CHTOG","alias"
"9793","MSPS","alias"
"9793","TOG","alias"
"9793","TOGp","alias"
"9793","ch-TOG","alias"
"9792","Sei-2","alias"
"9792","TRIP-Br2","alias"
"9791","LMHD","alias"
"9791","PSS1","alias"
"9791","PSSA","alias"
"9790","ACC","alias"
"9790","BMS1L","alias"
"9788","MIM","alias"
"9788","MIMA","alias"
"9788","MIMB","alias"
"9787","DLG7","alias"
"9787","HURP","alias"
"9786","JBTS23","alias"
"9786","SRTD14","alias"
"9786","Talpid3","alias"
"9785","DDX38","alias"
"9785","PRP16","alias"
"9785","PRPF16","alias"
"9783","NIM3","alias"
"9783","RIM3","alias"
"9782","ALS21","alias"
"9782","MPD2","alias"
"9782","VCPDM","alias"
"9781","RNF144","alias"
"9781","UBCE7IP4","alias"
"9781","hUIP4","alias"
"9780","DHS","alias"
"9780","FAM38A","alias"
"9780","LMPH3","alias"
"9780","Mib","alias"
"978","CDD","alias"
"9777","dJ836N17.2","alias"
"9776","KIAA0652","alias"
"9776","PARATARG8","alias"
"9775","DDX48","alias"
"9775","MUK34","alias"
"9775","NMP265","alias"
"9775","NUK34","alias"
"9775","RCPS","alias"
"9775","eIF4AIII","alias"
"9774","BTF","alias"
"9774","bK211L9.1","alias"
"9772","TMEM94","alias"
"9771","GFR","alias"
"9771","MR-GEF","alias"
"9771","REPAC","alias"
"9770","CENP-34","alias"
"9770","RASFADIN","alias"
"977","GP27","alias"
"977","MER2","alias"
"977","PETA-3","alias"
"977","RAPH","alias"
"977","SFA1","alias"
"977","TSPAN24","alias"
"9768","L5","alias"
"9768","NS5ATP9","alias"
"9768","OEATC","alias"
"9768","OEATC-1","alias"
"9768","OEATC1","alias"
"9768","PAF","alias"
"9768","PAF15","alias"
"9768","p15(PAF)","alias"
"9768","p15/PAF","alias"
"9768","p15PAF","alias"
"9768","PCLAF","alias"
"9767","JADE-3","alias"
"9767","PHF16","alias"
"9766","DRAGO","alias"
"9766","SUSD6","alias"
"9765","PPP1R69","alias"
"9762","PROSAPIP1","alias"
"9761","KIAA0152","alias"
"9760","TOX1","alias"
"976","TM7LN1","alias"
"976","ADGRE5","alias"
"9759","AHO3","alias"
"9759","BDMR","alias"
"9759","HA6116","alias"
"9759","HD4","alias"
"9759","HDAC-4","alias"
"9759","HDAC-A","alias"
"9759","HDACA","alias"
"9758","MRX104","alias"
"9758","PDZD10","alias"
"9758","PDZK10","alias"
"9757","CXXC10","alias"
"9757","DYT28","alias"
"9757","HRX2","alias"
"9757","MLL1B","alias"
"9757","MLL2","alias"
"9757","MLL4","alias"
"9757","TRX2","alias"
"9757","WBP-7","alias"
"9757","WBP7","alias"
"9755","ProSAPiP2","alias"
"9755","SINTBAD","alias"
"9754","ARHGAP38","alias"
"9754","DLC3","alias"
"9754","STARTGAP3","alias"
"9753","ZFP96","alias"
"9753","ZNF29K1","alias"
"9753","ZNF305","alias"
"9753","ZNF96","alias"
"9753","dJ29K1.2","alias"
"9752","PCDH-ALPHA9","alias"
"9750","C6orf32","alias"
"9750","DFNB104","alias"
"9750","DIFF40","alias"
"9750","DIFF48","alias"
"9750","MYONAP","alias"
"9750","PL48","alias"
"9750","RIPOR2","alias"
"975","CVID6","alias"
"975","S5.7","alias"
"975","TAPA1","alias"
"975","TSPAN28","alias"
"9749","C6orf56","alias"
"9748","LOSK","alias"
"9748","STK2","alias"
"9748","bA16H23.1","alias"
"9748","se20-9","alias"
"9747","TCAF1","alias"
"9746","CDHR14","alias"
"9746","CSTN3","alias"
"9746","alcbeta","alias"
"9744","CENTB1","alias"
"9743","GC-GAP","alias"
"9743","GRIT","alias"
"9743","PX-RICS","alias"
"9743","RICS","alias"
"9743","p200RhoGAP","alias"
"9743","p250GAP","alias"
"9742","MZSDS","alias"
"9742","SRTD9","alias"
"9742","WDTC2","alias"
"9742","c305C8.4","alias"
"9742","c380F5.1","alias"
"9742","gs114","alias"
"9741","HUMORF13","alias"
"9741","LAPTM4","alias"
"9741","MBNT","alias"
"9741","Mtrp","alias"
"974","AGM6","alias"
"974","B29","alias"
"974","IGB","alias"
"9739","KMT2F","alias"
"9739","Set1","alias"
"9739","Set1A","alias"
"9738","CP110","alias"
"9738","Cep110","alias"
"9737","GASP","alias"
"9737","GASP-1","alias"
"9737","GASP1","alias"
"9735","ROD","alias"
"9734","HD7","alias"
"9734","HD7b","alias"
"9734","HD9","alias"
"9734","HDAC","alias"
"9734","HDAC7","alias"
"9734","HDAC7B","alias"
"9734","HDAC9B","alias"
"9734","HDAC9FL","alias"
"9734","HDRP","alias"
"9734","MITR","alias"
"9733","DSAP1","alias"
"9733","P100","alias"
"9733","RP11-13G14","alias"
"9733","TIP110","alias"
"9733","p110","alias"
"9733","p110(nrb)","alias"
"9731","CFAP256","alias"
"9731","GlyBP","alias"
"9731","JBTS25","alias"
"9731","KIAA0562","alias"
"9731","ROC22","alias"
"9730","RIP","alias"
"9730","DCAF1","alias"
"973","IGA","alias"
"973","MB-1","alias"
"9728","SBP2L","alias"
"9728","SLAN","alias"
"9727","CART1","alias"
"9727","Rab11-FIP3","alias"
"9725","KIAA0792","alias"
